Josh	AD	Cameron	Lou	Fisher	Franks	Corbin	Steve	Gilbert	MB
Garret Cole	Trevor Bauer	Nolan Arenado	Mike Moustakas	Alcides Escobar	Shelby Miller	Manny Machado	George Springer	Jurickson Profar	Dylan Bundy
Travis d'Arnaud	Francisco Lindor	Anthony Rendon	Dustin Ackley	Domonic Brown	Jameson Taillon	Brandon Belt	Jarrod Parker	Miguel Sano	Wil Myers
Bubba Starling	Julio Teheran	Mark Appel	Taijuan Walker	Casey Kelly	Zach Lee	Yonder Alonso	Jonathan Singleton	Nick Castellanos	Archie Bradley
			Christian Yellich			Devin Mesoraco			Anthony Rizzo
			Matt Szczur						Tyler Skaggs
