Josh	WolfMatt	Cameron	Lou	Fisher	Franks	Corbin	Steve	Gilbert	David
Bubba Starling	Trevor Bauer	Nolan Arenado	Taijuan Walker	Jose Fernandez	Jameson Taillon	Yonder Alonso	George Springer	Jurickson Profar	Dylan Bundy
Travis d'Arnaud	Francisco Lindor	Jose Dariel Abreu	Christian Yellich	Zack Wheeler		Devin Mesoraco	Byron Buxton	Miguel Sano	Addison Russell
	Masahiro Tanaka						Cory Saeger	Oscar Taveras	Xander Bogaerts
